"12th EAI International Conference on Pervasive Computing Technologies for Healthcare – Demos, Posters, Doctoral Colloquium",European Alliance for Innovation (EAI),New York,,,9781631901638;9781631901638,Conference Papers & Proceedings,English,Medical Sciences--Computer Applications,4477158,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=4477158
13th EAI International Conference on Pervasive Computing Technologies for Healthcare - Demos and Posters,European Alliance for Innovation (EAI),Trento,,,9781631901843;9781631901843,Conference Papers & Proceedings,English,Medical Sciences--Computer Applications,4477157,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=4477157
"The 1st Workshop on Multimedia Education, Learning, Assessment and its Implementation in Game and Gamification in conjunction with COMDEV 2018",European Alliance for Innovation (EAI),Medan,,,9781631901799;9781631901799,Conference Papers & Proceedings,English,Education,4477140,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=4477140
3D,MultiMedia Healthcare Inc.,San Francisco,1526-0720,,,Magazines,English,Computers--Computer Graphics|Photography--Computer Applications,30190,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=30190
3D World,Future Publishing Ltd,Bath,1470-4382,,,Magazines,English,Art--Computer Applications,2042762,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=2042762
4OR,Springer Nature B.V.,Heidelberg,1619-4500,1614-2411,,Scholarly Journals,English,Business And Economics--Management|Computers,326374,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=326374
"50+ Digital [50+ Digital, LLC - BLOG]",Newstex,Chicago,,,,"Blogs, Podcasts, & Websites",English,Computers--Information Science And Information Theory,52058,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=52058
80 Micro,IDG Communications/Peterborough,Peterborough,0744-7868,,,Magazines,English,Computers--Minicomputers|Computers--Personal Computers,48304,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=48304
ACM Computing Surveys,Association for Computing Machinery,Baltimore,0360-0300,1557-7341,,Scholarly Journals,English,Computers,47570,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=47570
ACM Queue,Association for Computing Machinery,New York,1542-7730,1557-7341,,Scholarly Journals,English,Computers--Software,43453,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=43453
ACM Transactions on Architecture and Code Optimization,Association for Computing Machinery,New York,1544-3566,1544-3973,,Scholarly Journals,English,Computers--Computer Architecture,31236,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=31236
ACM Transactions on Asian and Low - Resource Language Information Processing,Association for Computing Machinery,New York,2375-4699,2375-4702,,Scholarly Journals,,Linguistics--Computer Applications,43457,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=43457
ACM Transactions on Computational Logic,Association for Computing Machinery,New York,1529-3785,1557-945X,,Scholarly Journals,English,Computers,43459,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=43459
ACM Transactions on Computer Systems,Association for Computing Machinery,New York,0734-2071,1557-7333,,Scholarly Journals,English,Computers--Computer Systems,37304,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=37304
ACM Transactions on Computer-Human Interaction,Association for Computing Machinery,New York,1073-0516,1557-7325,,Scholarly Journals,English,Computers--Computer Engineering,46950,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=46950
ACM Transactions on Database Systems,Association for Computing Machinery,New York,0362-5915,1557-4644,,Scholarly Journals,English,Computers--Data Base Management,7292,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=7292
ACM Transactions on Design Automation of Electronic Systems,Association for Computing Machinery,New York,1084-4309,1557-7309,,Scholarly Journals,English,Computers--Automation|Engineering--Computer Applications,43460,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=43460
ACM Transactions on Embedded Computing Systems,Association for Computing Machinery,New York,1539-9087,1558-3465,,Scholarly Journals,English,Computers,43462,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=43462
ACM Transactions on Graphics,Association for Computing Machinery,New York,0730-0301,1557-7368,,Scholarly Journals,English,Computers--Computer Graphics,37307,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=37307
ACM Transactions on Information Systems,Association for Computing Machinery,New York,1046-8188,1558-2868,,Scholarly Journals,English,Business And Economics--Computer Applications,37311,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=37311
ACM Transactions on Internet Technology,Association for Computing Machinery,New York,1533-5399,1557-6051,,Scholarly Journals,English,Computers--Internet,43608,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=43608
ACM Transactions on Mathematical Software,Association for Computing Machinery,New York,0098-3500,1557-7295,,Scholarly Journals,English,Computers--Software|Mathematics--Computer Applications,47576,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=47576
ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery,New York,1049-3301,1558-1195,,Scholarly Journals,English,Computers--Computer Programming|Computers--Computer Systems,34305,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=34305
ACM Transactions on Privacy and Security,Association for Computing Machinery,New York,2471-2566,2471-2574,,Scholarly Journals,,Computers--Computer Security,43464,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=43464
ACM Transactions on Programming Languages and Systems,Association for Computing Machinery,New York,0164-0925,1558-4593,,Scholarly Journals,English,Computers--Computer Programming|Computers--Computer Systems,37313,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=37313
ACM Transactions on Software Engineering and Methodology,Association for Computing Machinery,New York,1049-331X,1557-7392,,Scholarly Journals,English,Computers--Computer Programming|Computers--Software,34165,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=34165
AI & Society,Springer Nature B.V.,London,0951-5666,1435-5655,,Scholarly Journals,English,Computers--Artificial Intelligence,30083,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=30083
AI Communications,IOS Press BV,Amsterdam,0921-7126,1875-8452,,Scholarly Journals,English,Computers--Artificial Intelligence,2035286,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=2035286
AI Magazine,Association for the Advancement of Artificial Intelligence,La Canada,0738-4602,2371-9621,,Scholarly Journals,English,Computers--Artificial Intelligence,36813,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=36813
AJIT-e,AJIT - e: Online Academic Journal of Information Technology,Istanbul,,1309-1581,,Scholarly Journals,English|Turkish,Computers|Technology: Comprehensive Works,1796423,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=1796423
AMUS.log,Alpha Micro User Society,Longmont,0884-7975,,,Trade Journals,English,Computers--Personal Computers,33764,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=33764
APSIPA Transactions on Signal and Information Processing,Cambridge University Press,Cambridge,,2048-7703,,Scholarly Journals,English,Computers--Computer Engineering|Engineering--Electrical Engineering,2046284,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=2046284
